E_MMX_TRAIN: 0.0020283642 	 E_RMS_TRAIN: 0.0012022107 
E_MMX_TEST:  0.0024184200 	 E_RMS_TEST:  0.0013898565 
E_MMX:       0.0024184200 	 E_RMS:       0.0012430469 

C[0, 0, 0, 0, 0, 0] = 0.1422419869 
C[0, 0, 1, 0, 0, 0] = 0.0668874867 
C[0, 0, 3, 0, 0, 0] = 0.0021177359 
C[0, 0, 4, 2, 1, 8] = 0.0171509892 
C[0, 1, 0, 0, 0, 0] = 0.0686348337 
C[1, 0, 0, 0, 0, 0] = 0.0638287437 
C[3, 0, 0, 0, 0, 0] = -0.0000532659 
C[3, 0, 4, 0, 0, 0] = -0.0089234092 
C[7, 0, 2, 0, 0, 0] = 0.0119646808 

Equation:
f(X)=+0.142+0.067x_{3}+0.002x_{3}^{3}+0.017x_{3}^{4}x_{4}^{2}x_{5}x_{6}^{8}+0.069x_{2}+0.064x_{1}-0.0x_{1}^{3}-0.009x_{1}^{3}x_{3}^{4}+0.012x_{1}^{7}x_{3}^{2}

index	Data Values	Approximation Values

( 0)	 0.2526371680 	0.2539036200 
( 1)	 0.2774246490 	0.2792409406 
( 2)	 0.2074250160 	0.2094532081 
( 3)	 0.2145876670 	0.2147202680 
( 4)	 0.2219388930 	0.2236248240 
( 5)	 0.2224915800 	0.2214126750 
( 6)	 0.2216293530 	0.2236576584 
( 7)	 0.2737950620 	0.2755438411 
( 8)	 0.2498029250 	0.2512660049 
( 9)	 0.2926805810 	0.2935759599 
(10)	 0.2407706040 	0.2419104834 
(11)	 0.1963749050 	0.1974940950 
(12)	 0.2689221550 	0.2677636378 
(13)	 0.3103448010 	0.3121086286 
(14)	 0.2454960910 	0.2451348885 
(15)	 0.1815101390 	0.1824045173 
(16)	 0.2666842890 	0.2652505071 
(17)	 0.2535482790 	0.2521564332 
(18)	 0.2482809090 	0.2482641986 
(19)	 0.2756687050 	0.2755431767 
(20)	 0.2766619120 	0.2756379627 
(21)	 0.2887613970 	0.2886851431 
(22)	 0.2958334500 	0.2956905580 
(23)	 0.2048250020 	0.2059419669 
(24)	 0.2069871470 	0.2051857259 
(25)	 0.1965773580 	0.1966206108 
(26)	 0.1612304930 	0.1626151947 
(27)	 0.2768898080 	0.2759653638 
(28)	 0.1686645790 	0.1702567133 
(29)	 0.2305683190 	0.2314917553 
(30)	 0.2907545720 	0.2906205788 
(31)	 0.2813593860 	0.2815161229 
(32)	 0.2728456700 	0.2719489771 
(33)	 0.2415958210 	0.2413229148 
(34)	 0.2120259330 	0.2121337639 
(35)	 0.2429658840 	0.2417635601 
(36)	 0.2728018720 	0.2723748292 
(37)	 0.2300127770 	0.2302842683 
(38)	 0.2412784280 	0.2398298747 
(39)	 0.2662189350 	0.2655173002 
(40)	 0.2011553080 	0.1999486914 
(41)	 0.2538452490 	0.2524798572 
(42)	 0.2179911440 	0.2182193267 
(43)	 0.2495304290 	0.2499575449 
(44)	 0.2183098470 	0.2200942955 
(45)	 0.2638634770 	0.2640786883 
(46)	 0.2389501500 	0.2381740696 
(47)	 0.1856206910 	0.1873363546 
(48)	 0.2168712240 	0.2182770653 
(49)	 0.2075875140 	0.2066537245 
(50)	 0.2384822560 	0.2370546917 
(51)	 0.1667800970 	0.1656790858 
(52)	 0.2707475510 	0.2727757602 
(53)	 0.2665994980 	0.2690179180 
(54)	 0.2248456420 	0.2231802704 
(55)	 0.2498686190 	0.2493485924 
(56)	 0.2479057170 	0.2497514469 
(57)	 0.2527662360 	0.2534907424 
(58)	 0.1834202100 	0.1850994739 
(59)	 0.2002422710 	0.2022705050 
(60)	 0.2014015030 	0.1993730293 
(61)	 0.2265890790 	0.2248537751 
(62)	 0.2810188750 	0.2802015834 
(63)	 0.3064593460 	0.3066025170 
(64)	 0.2523222010 	0.2532642025 
(65)	 0.2426345030 	0.2418922167 
(66)	 0.2466003700 	0.2458569470 
(67)	 0.1924811620 	0.1941723221 
(68)	 0.2641725250 	0.2648650260 
(69)	 0.2133231900 	0.2119125518 
(70)	 0.2353547380 	0.2364383176 
(71)	 0.2500532480 	0.2493572753 
(72)	 0.1880440940 	0.1869106283 
(73)	 0.1791737160 	0.1784251185 
(74)	 0.2413998750 	0.2428477452 
(75)	 0.2241296010 	0.2235836717 
(76)	 0.2542999100 	0.2548917858 
(77)	 0.2543836600 	0.2559003080 
(78)	 0.1751838000 	0.1770875450 
(79)	 0.2786503180 	0.2772449386 
(80)	 0.2474806930 	0.2483756511 
(81)	 0.1786444610 	0.1804649757 
(82)	 0.2247214320 	0.2239732229 
(83)	 0.2437473350 	0.2417570944 
(84)	 0.1933258290 	0.1918900221 
(85)	 0.2524298410 	0.2504013575 
(86)	 0.2055572440 	0.2051622223 
(87)	 0.1667003390 	0.1675703387 
(88)	 0.3062484150 	0.3080230894 
(89)	 0.2704171810 	0.2701319346 
(90)	 0.1972485180 	0.1989160491 
(91)	 0.2542460160 	0.2552928351 
(92)	 0.2710551690 	0.2713930941 
(93)	 0.2256669050 	0.2259019477 
(94)	 0.2057847610 	0.2051886474 
(95)	 0.2391832330 	0.2389324019 
(96)	 0.2514136390 	0.2525629982 
(97)	 0.2458636950 	0.2458569141 
(98)	 0.2644526260 	0.2648349121 
(99)	 0.2527125350 	0.2506617159 
