E_RMS: 	0.0013644940 
E_MMX: 	0.0028475461 

C[0, 0, 0, 0, 0, 0] = 0.1422419869 
C[0, 1, 0, 0, 0, 0] = 0.0686348337 
C[0, 0, 1, 0, 0, 0] = 0.0668874867 
C[1, 0, 0, 0, 0, 0] = 0.0638287437 

Suggested Equation:
f(X)=+0.142+0.069x_{2}+0.067x_{3}+0.064x_{1}

index	Data Values	Approximation Values

( 0)	 0.2526371680 	0.2534795504 
( 1)	 0.2774246490 	0.2780546733 
( 2)	 0.2074250160 	0.2094505811 
( 3)	 0.2145876670 	0.2147216551 
( 4)	 0.2219388930 	0.2234752807 
( 5)	 0.2224915800 	0.2214347898 
( 6)	 0.2216293530 	0.2236530940 
( 7)	 0.2737950620 	0.2750317177 
( 8)	 0.2498029250 	0.2497779550 
( 9)	 0.2926805810 	0.2932564790 
(10)	 0.2407706040 	0.2417823598 
(11)	 0.1963749050 	0.1974216301 
(12)	 0.2689221550 	0.2673452149 
(13)	 0.3103448010 	0.3109079732 
(14)	 0.2454960910 	0.2431716883 
(15)	 0.1815101390 	0.1824026507 
(16)	 0.2666842890 	0.2643650688 
(17)	 0.2535482790 	0.2520854678 
(18)	 0.2482809090 	0.2479850340 
(19)	 0.2756687050 	0.2739323654 
(20)	 0.2766619120 	0.2740895863 
(21)	 0.2887613970 	0.2869371399 
(22)	 0.2958334500 	0.2947888237 
(23)	 0.2048250020 	0.2059389983 
(24)	 0.2069871470 	0.2049766659 
(25)	 0.1965773580 	0.1961671670 
(26)	 0.1612304930 	0.1626097351 
(27)	 0.2768898080 	0.2756758439 
(28)	 0.1686645790 	0.1702505325 
(29)	 0.2305683190 	0.2312700119 
(30)	 0.2907545720 	0.2902551442 
(31)	 0.2813593860 	0.2808749065 
(32)	 0.2728456700 	0.2717275347 
(33)	 0.2415958210 	0.2405475170 
(34)	 0.2120259330 	0.2121409085 
(35)	 0.2429658840 	0.2417590082 
(36)	 0.2728018720 	0.2718100107 
(37)	 0.2300127770 	0.2302596068 
(38)	 0.2412784280 	0.2398325991 
(39)	 0.2662189350 	0.2653174301 
(40)	 0.2011553080 	0.1999390699 
(41)	 0.2538452490 	0.2522931740 
(42)	 0.2179911440 	0.2181710356 
(43)	 0.2495304290 	0.2497260886 
(44)	 0.2183098470 	0.2199095349 
(45)	 0.2638634770 	0.2637359610 
(46)	 0.2389501500 	0.2380573372 
(47)	 0.1856206910 	0.1873350970 
(48)	 0.2168712240 	0.2181365806 
(49)	 0.2075875140 	0.2066500698 
(50)	 0.2384822560 	0.2370354747 
(51)	 0.1667800970 	0.1656462522 
(52)	 0.2707475510 	0.2711701324 
(53)	 0.2665994980 	0.2682866426 
(54)	 0.2248456420 	0.2230686008 
(55)	 0.2498686190 	0.2489324184 
(56)	 0.2479057170 	0.2492439549 
(57)	 0.2527662360 	0.2534369445 
(58)	 0.1834202100 	0.1850972485 
(59)	 0.2002422710 	0.2022677202 
(60)	 0.2014015030 	0.1993729947 
(61)	 0.2265890790 	0.2247876956 
(62)	 0.2810188750 	0.2797953137 
(63)	 0.3064593460 	0.3052638969 
(64)	 0.2523222010 	0.2527443055 
(65)	 0.2426345030 	0.2405625927 
(66)	 0.2466003700 	0.2455542853 
(67)	 0.1924811620 	0.1941710039 
(68)	 0.2641725250 	0.2645380060 
(69)	 0.2133231900 	0.2117172971 
(70)	 0.2353547380 	0.2350508106 
(71)	 0.2500532480 	0.2493709504 
(72)	 0.1880440940 	0.1869107063 
(73)	 0.1791737160 	0.1784295695 
